,Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date,Quantity_Imputed,Price Per Unit_Imputed,Total Spent_Imputed,Payment Method_Missing,Location_encoded,Item_Was_Missing,Date_Was_Missing
0,1961373,Coffee,2.0,2.0,4.0,Credit Card,Takeaway,2023-09-08,0,0,0,0,0,0,0
1,4977031,Cake,4.0,3.0,12.0,Cash,In-store,2023-05-16,0,0,0,0,1,0,0
2,4271903,Cookie,4.0,1.0,4.0,Credit Card,In-store,2023-07-19,0,0,0,0,1,0,0
3,7034554,Salad,2.0,5.0,10.0,Missing,In-store,2023-04-27,0,0,0,1,1,0,0
4,3160411,Coffee,2.0,2.0,4.0,Digital Wallet,In-store,2023-06-11,0,0,0,0,1,0,0
5,2602893,Smoothie,5.0,4.0,20.0,Credit Card,In-store,2023-03-31,0,0,0,0,1,0,0
6,4433211,UNKNOWN,3.0,3.0,9.0,Missing,Takeaway,2023-10-06,0,0,0,1,0,0,0
7,6699534,Sandwich,4.0,4.0,16.0,Cash,Takeaway,2023-10-28,0,0,0,0,0,0,0
8,4717867,Juice,5.0,3.0,15.0,Missing,Takeaway,2023-07-28,0,0,0,1,0,1,0
9,2064365,Sandwich,5.0,4.0,20.0,Missing,In-store,2023-12-31,0,0,0,1,1,0,0
10,2548360,Salad,5.0,5.0,25.0,Cash,Takeaway,2023-11-07,0,0,0,0,0,0,0
11,3051279,Sandwich,2.0,4.0,8.0,Credit Card,Takeaway,2023-11-07,0,0,0,0,0,0,1
12,7619095,Sandwich,2.0,4.0,8.0,Cash,In-store,2023-05-03,0,0,0,0,1,0,0
13,9437049,Cookie,5.0,1.0,5.0,Missing,Takeaway,2023-06-01,0,0,0,1,0,0,0
14,8915701,ERROR,2.0,1.5,3.0,Missing,In-store,2023-03-21,0,0,0,1,1,0,0
15,2847255,Salad,3.0,5.0,15.0,Credit Card,In-store,2023-11-15,0,0,0,0,1,0,0
16,3765707,Sandwich,1.0,4.0,4.0,Missing,In-store,2023-06-10,0,0,0,1,1,0,0
17,6769710,Juice,2.0,3.0,6.0,Cash,In-store,2023-02-24,0,0,0,0,1,0,0
18,8876618,Cake,5.0,3.0,15.0,Cash,In-store,2023-03-25,0,0,0,0,1,0,0
19,3709394,Juice,4.0,3.0,12.0,Cash,Takeaway,2023-01-15,0,0,0,0,0,0,0
20,3522028,Smoothie,5.0,4.0,20.0,Cash,In-store,2023-04-04,0,0,0,0,1,0,0
21,3567645,Smoothie,4.0,4.0,16.0,Credit Card,Takeaway,2023-03-30,0,0,0,0,0,0,0
22,5132361,Sandwich,3.0,4.0,12.0,Digital Wallet,Takeaway,2023-12-01,0,0,0,0,0,0,0
23,2616390,Sandwich,2.0,4.0,8.0,Missing,In-store,2023-09-18,0,0,0,1,1,0,0
24,9400181,Sandwich,5.0,4.0,20.0,Cash,In-store,2023-06-03,0,0,0,0,1,0,0
25,7958992,Smoothie,3.0,4.0,12.0,Missing,In-store,2023-12-13,0,0,0,1,1,0,0
26,5183041,Cookie,5.0,1.0,5.0,Credit Card,In-store,2023-04-20,0,0,0,0,1,0,0
27,5695074,Juice,4.0,3.0,12.0,Credit Card,Takeaway,2023-04-10,0,0,0,0,0,0,0
28,8467949,Smoothie,5.0,4.0,20.0,Credit Card,In-store,2023-03-11,0,0,0,0,1,0,0
29,7640952,Cake,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-03-11,0,0,0,0,0,0,1
30,1736287,Coffee,5.0,2.0,10.0,Digital Wallet,Takeaway,2023-06-02,0,0,0,0,0,1,0
31,8927252,UNKNOWN,2.0,1.0,2.0,Credit Card,Takeaway,2023-11-06,0,0,0,0,0,0,0
32,9677376,Smoothie,4.0,4.0,16.0,Missing,In-store,2023-08-15,0,0,0,1,1,0,0
33,7710508,UNKNOWN,5.0,1.0,5.0,Cash,Takeaway,2023-08-15,0,0,0,0,0,0,1
34,8853997,Smoothie,2.0,4.0,8.0,Digital Wallet,Takeaway,2023-10-09,0,0,0,0,0,0,0
35,9130559,Sandwich,1.0,4.0,4.0,Credit Card,In-store,2023-05-28,0,0,0,0,1,0,0
36,6855453,UNKNOWN,4.0,3.0,12.0,Missing,In-store,2023-07-17,0,0,0,1,1,0,0
37,1080432,Salad,2.0,5.0,10.0,Credit Card,In-store,2023-04-29,0,0,0,0,1,0,0
38,2655815,Smoothie,4.0,4.0,16.0,Missing,Takeaway,2023-06-08,0,0,0,1,0,0,0
39,6688524,Coffee,4.0,2.0,8.0,Missing,Takeaway,2023-06-29,0,0,0,1,0,0,0
40,2083138,Smoothie,3.0,4.0,12.0,Missing,In-store,2023-04-17,0,0,0,1,1,0,0
41,2427584,Sandwich,4.0,4.0,16.0,Missing,Takeaway,2023-12-22,0,0,0,1,0,0,0
42,6650263,Tea,2.0,1.5,3.0,Missing,Takeaway,2023-01-10,0,0,0,1,0,0,0
43,9620080,Juice,4.0,3.0,12.0,Missing,Takeaway,2023-10-02,0,0,0,1,0,0,0
44,1491578,Cookie,2.0,1.0,2.0,Missing,Takeaway,2023-02-23,0,0,0,1,0,0,0
45,5455792,Salad,3.0,5.0,15.0,Cash,In-store,2023-03-22,0,0,0,0,1,0,0
46,8078640,Juice,4.0,3.0,12.0,Digital Wallet,In-store,2023-11-03,0,0,0,0,1,0,0
47,9499313,Juice,5.0,3.0,15.0,Missing,In-store,2023-03-02,0,0,0,1,1,0,0
48,8201146,Juice,5.0,3.0,15.0,Cash,In-store,2023-06-26,0,0,0,0,1,0,0
49,8230936,Cake,3.0,3.0,9.0,Missing,In-store,2023-05-02,0,0,0,1,1,0,0
50,7742742,Cake,5.0,3.0,15.0,Missing,Takeaway,2023-09-05,0,0,0,1,0,0,0
51,6342161,Salad,5.0,5.0,25.0,Missing,Takeaway,2023-01-08,0,0,0,1,0,0,0
52,8914892,UNKNOWN,5.0,5.0,25.0,Digital Wallet,Takeaway,2023-03-15,0,0,0,0,0,0,0
53,3363746,Smoothie,3.0,4.0,12.0,Credit Card,In-store,2023-11-25,0,0,0,0,1,0,0
54,8614868,Smoothie,5.0,4.0,20.0,Digital Wallet,Takeaway,2023-12-05,0,0,0,0,0,0,0
55,5522862,Cookie,2.0,1.0,2.0,Credit Card,Takeaway,2023-03-19,0,0,0,0,0,0,0
56,3578141,Cake,5.0,3.0,15.0,Missing,Takeaway,2023-06-27,0,0,0,1,0,0,0
57,2080895,Cake,1.0,3.0,3.0,Digital Wallet,In-store,2023-04-19,0,0,0,0,1,0,0
58,6421134,Sandwich,4.0,4.0,16.0,Cash,Takeaway,2023-11-03,0,0,0,0,0,0,0
59,8813311,Juice,5.0,3.0,15.0,Missing,In-store,2023-10-07,0,0,0,1,1,0,0
60,9023317,Salad,1.0,5.0,5.0,Missing,In-store,2023-09-30,0,0,0,1,1,0,0
61,8051289,Juice,1.0,3.0,3.0,Missing,In-store,2023-10-09,0,0,0,1,1,1,0
62,2537617,Sandwich,1.0,4.0,4.0,Cash,In-store,2023-05-27,0,0,0,0,1,0,0
63,9099694,UNKNOWN,3.0,5.0,15.0,Missing,Takeaway,2023-11-18,0,0,0,1,0,0,0
64,9230615,Smoothie,4.0,4.0,16.0,Digital Wallet,Takeaway,2023-06-01,0,0,0,0,0,0,0
65,4987129,Sandwich,3.0,3.0,9.0,Missing,In-store,2023-10-20,0,1,1,1,1,0,0
66,8501819,Juice,2.0,3.0,6.0,Cash,In-store,2023-03-30,0,0,0,0,1,0,0
67,3068204,Cookie,1.0,1.0,1.0,Credit Card,Takeaway,2023-10-03,0,0,0,0,0,0,0
68,8427104,Salad,2.0,5.0,10.0,Missing,In-store,2023-10-27,0,0,0,1,1,0,0
69,8471743,ERROR,5.0,3.0,15.0,Digital Wallet,In-store,2023-04-06,0,0,0,0,1,0,0
70,2621580,Tea,2.0,1.5,3.0,Cash,In-store,2023-03-22,0,0,0,0,1,0,0
71,4726376,Cake,2.0,3.0,6.0,Credit Card,In-store,2023-01-31,0,0,0,0,1,0,0
72,6044979,Cookie,1.0,1.0,1.0,Cash,In-store,2023-12-08,0,0,0,0,1,1,0
73,4238417,Salad,2.0,5.0,10.0,Missing,In-store,2023-06-19,0,0,0,1,1,0,0
74,1900620,Smoothie,2.0,4.0,8.0,Credit Card,In-store,2023-12-14,0,0,0,0,1,0,0
75,6420335,Coffee,1.0,2.0,2.0,Cash,Takeaway,2023-07-16,0,0,0,0,0,0,0
76,3858209,Sandwich,4.0,4.0,16.0,Cash,Takeaway,2023-02-22,0,0,0,0,0,0,0
77,2091733,Salad,1.0,5.0,5.0,Missing,In-store,2023-02-22,0,0,0,1,1,0,1
78,8735480,Tea,5.0,1.5,7.5,Cash,In-store,2023-06-02,0,0,0,0,1,0,0
79,3829165,Juice,4.0,3.0,12.0,Cash,In-store,2023-06-15,0,0,0,0,1,0,0
80,3748616,Coffee,2.0,2.0,4.0,Credit Card,In-store,2023-12-09,0,0,0,0,1,0,0
81,1993289,Sandwich,2.0,4.0,8.0,Missing,In-store,2023-04-18,0,0,0,1,1,0,0
82,2123367,Cookie,2.0,1.0,2.0,Missing,Takeaway,2023-11-07,0,0,0,1,0,0,0
83,5266394,Cake,3.0,3.0,9.0,Cash,In-store,2023-10-28,0,0,0,0,1,0,0
84,5107946,Cake,4.0,3.0,12.0,Credit Card,Takeaway,2023-12-22,0,0,0,0,0,0,0
85,8035512,Tea,3.0,1.5,4.5,Cash,In-store,2023-10-29,0,0,0,0,1,0,0
86,8718498,Cake,5.0,3.0,15.0,Credit Card,In-store,2023-04-30,0,0,0,0,1,0,0
87,3955361,Cookie,5.0,1.0,5.0,Missing,Takeaway,2023-04-02,0,0,0,1,0,0,0
88,9487821,ERROR,1.0,5.0,5.0,Digital Wallet,Takeaway,2023-05-24,0,0,0,0,0,0,0
89,4132730,Cookie,5.0,1.0,5.0,Missing,In-store,2023-03-12,0,0,0,1,1,1,0
90,8976658,Tea,2.0,1.5,3.0,Credit Card,In-store,2023-08-16,0,0,0,0,1,0,0
91,5455936,UNKNOWN,5.0,3.0,15.0,Missing,In-store,2023-10-28,0,0,0,1,1,0,0
92,2725602,Juice,5.0,3.0,15.0,Credit Card,In-store,2023-09-10,0,0,0,0,1,0,0
93,3011323,Coffee,3.0,2.0,6.0,Credit Card,In-store,2023-03-07,0,0,0,0,1,0,0
94,6289610,Juice,3.0,3.0,9.0,Cash,Takeaway,2023-08-07,0,0,0,0,0,0,0
95,8268061,Salad,3.0,5.0,15.0,Missing,Takeaway,2023-08-20,0,0,0,1,0,0,0
96,5220895,Salad,5.0,5.0,25.0,Cash,In-store,2023-06-10,0,0,0,0,1,0,0
97,3085509,Coffee,4.0,2.0,8.0,Digital Wallet,In-store,2023-04-15,0,0,0,0,1,0,0
98,9999113,Juice,4.0,3.0,12.0,Cash,Takeaway,2023-05-27,0,0,0,0,0,0,0
99,8779771,Coffee,4.0,2.0,8.0,Cash,In-store,2023-07-25,0,0,0,0,1,0,0
100,9517146,Salad,5.0,5.0,25.0,Cash,Takeaway,2023-10-30,0,0,0,0,0,1,0
101,1621920,Salad,3.0,5.0,15.0,Missing,Takeaway,2023-10-28,0,0,0,1,0,0,0
102,3808639,Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-12-15,0,0,0,0,0,0,0
103,7028009,Cake,4.0,3.0,12.0,Missing,Takeaway,2023-12-15,0,0,0,1,0,0,1
104,7447872,Juice,2.0,3.0,6.0,Missing,In-store,2023-12-15,0,0,0,1,1,0,1
105,6955416,Salad,4.0,5.0,20.0,Missing,In-store,2023-02-25,0,0,0,1,1,0,0
106,3775339,Cookie,3.0,1.0,3.0,Credit Card,Takeaway,2023-04-03,0,0,0,0,0,0,0
