iter	Logloss
0	0.6835008932
1	0.674067424
2	0.6653148394
3	0.6573722209
4	0.6495335888
5	0.6432546896
6	0.6367504218
7	0.6306628248
8	0.625870041
9	0.6199654802
10	0.6145698108
11	0.6105477072
12	0.605835372
13	0.6017110122
14	0.5978513299
15	0.5944751002
16	0.5917890664
17	0.5884110571
18	0.5857326766
19	0.5823153868
20	0.579445152
21	0.5769753205
22	0.574638933
23	0.5723416258
24	0.5702978629
25	0.5685142998
26	0.5664364038
27	0.5642697521
28	0.5621041949
29	0.5601708658
30	0.5585204977
31	0.5568967461
32	0.5553948372
33	0.5537185572
34	0.5521006094
35	0.5507183404
36	0.549327422
37	0.5483135763
38	0.5472711815
39	0.5462731428
40	0.5452392384
41	0.544237254
42	0.54348084
43	0.5427159635
44	0.5417675216
45	0.5408829054
46	0.5400986979
47	0.5392380563
48	0.5385168607
49	0.5378910268
50	0.5371113201
51	0.5364482989
52	0.5358027116
53	0.5352177031
54	0.5345856344
55	0.5339523696
56	0.5333703061
57	0.5327758966
58	0.5322242124
59	0.5317592908
60	0.5313329735
61	0.5307863996
62	0.5300309354
63	0.5295464472
64	0.5291204899
65	0.5287774847
66	0.5283446936
67	0.5277291653
68	0.5273347331
69	0.5269784075
70	0.5266657289
71	0.5263024987
72	0.5257823563
73	0.5254823296
74	0.5249734844
75	0.5244213066
76	0.5241418009
77	0.5238672771
78	0.5233966968
79	0.5230650172
80	0.5226803192
81	0.522280316
82	0.5220686604
83	0.5219085224
84	0.52164009
85	0.5213408343
86	0.5211225953
87	0.5209401306
88	0.5207145414
89	0.5204237899
90	0.5202119183
91	0.520015718
92	0.5198090788
93	0.5194680333
94	0.5191636766
95	0.5190078991
96	0.5188673567
97	0.518712748
98	0.5185540456
99	0.5183949387
100	0.5182460022
101	0.5179000325
102	0.5176964832
103	0.5174700345
104	0.5172153155
105	0.5170634284
106	0.5167918871
107	0.5166145194
108	0.5163847577
109	0.5162265202
110	0.5160354301
111	0.5159026468
112	0.5157409475
113	0.5154594712
114	0.5153441913
115	0.5151640286
116	0.5148956541
117	0.5147695006
118	0.5145679416
119	0.5143909318
120	0.5142045241
121	0.5140594918
122	0.513924075
123	0.5136825355
124	0.5134672747
125	0.5132437383
126	0.5130896033
127	0.5129187917
128	0.5126510066
129	0.512531392
130	0.5122628557
131	0.5121380392
132	0.5119495262
133	0.5116189709
134	0.5114594641
135	0.5112390646
136	0.511018934
137	0.5108506215
138	0.5106601249
139	0.5105206745
140	0.5102672573
141	0.5100845322
142	0.5099549585
143	0.5097022891
144	0.5095630384
145	0.5093640539
146	0.5092826506
147	0.509145195
148	0.5090647162
149	0.5089222636
150	0.5087099225
151	0.5085643964
152	0.5084087636
153	0.5082597142
154	0.5081585556
155	0.5080012379
156	0.5078098918
157	0.5076700043
158	0.5074810701
159	0.5072846603
160	0.5071511519
161	0.5070346837
162	0.5068592071
163	0.5067105584
164	0.5064675534
165	0.5063212838
166	0.506265159
167	0.5061655559
168	0.5060516991
169	0.5059048496
170	0.5056822859
171	0.5055152803
172	0.5052810942
173	0.5051034606
174	0.504939766
175	0.504795949
176	0.5046466792
177	0.5044586368
178	0.5043083947
