iter	Passed	Remaining
0	176	176804
1	324	161696
2	341	113504
3	360	89673
4	382	76193
5	406	67334
6	432	61371
7	481	59736
8	498	54931
9	528	52331
10	548	49306
11	566	46619
12	583	44330
13	601	42393
14	628	41241
15	645	39707
16	656	37979
17	677	36939
18	702	36280
19	724	35485
20	742	34592
21	759	33772
22	781	33205
23	802	32648
24	853	33286
25	909	34066
26	945	34085
27	967	33585
28	984	32974
29	1002	32404
30	1023	31987
31	1038	31412
32	1056	30951
33	1075	30567
34	1093	30136
35	1110	29735
36	1137	29613
37	1178	29826
38	1227	30246
39	1259	30223
40	1279	29922
41	1297	29595
42	1315	29288
43	1333	28976
44	1351	28679
45	1382	28679
46	1410	28593
47	1485	29464
48	1536	29821
49	1583	30083
50	1602	29818
51	1632	29769
52	1671	29865
53	1702	29830
54	1727	29685
55	1771	29860
56	1799	29769
57	1961	31850
58	2105	33587
59	2267	35527
60	2433	37459
61	2498	37799
62	2544	37848
63	2594	37942
64	2682	38583
65	2721	38509
66	2770	38574
67	2803	38420
68	2868	38708
69	2904	38585
70	2938	38445
71	2999	38663
72	3032	38513
73	3071	38440
74	3118	38457
75	3151	38309
76	3182	38151
77	3207	37912
78	3238	37757
79	3271	37625
80	3296	37396
81	3332	37309
82	3356	37088
83	3470	37850
84	3598	38735
85	3763	40002
86	3897	40897
87	3959	41029
88	4045	41409
89	4148	41942
90	4210	42060
91	4240	41853
92	4280	41744
93	4380	42222
94	4529	43149
95	4613	43440
96	4741	44136
97	4886	44974
98	4986	45379
99	5568	50112
100	5867	52226
101	5958	52455
102	6090	53043
103	6192	53350
104	6262	53376
105	6391	53908
106	6607	55144
107	6714	55460
108	6850	56001
109	6979	56466
110	7034	56335
111	7085	56175
112	7227	56733
113	7296	56707
114	7378	56783
115	7435	56664
116	7514	56709
117	7622	56971
118	7680	56859
119	7803	57229
120	7901	57402
121	7970	57358
122	8042	57343
123	8078	57070
124	8096	56677
125	8112	56275
126	8129	55882
127	8156	55563
128	8175	55202
129	8192	54825
130	8207	54448
131	8224	54081
132	8242	53729
133	8267	53431
134	8286	53097
135	8311	52800
136	8328	52463
137	8343	52113
138	8360	51788
139	8379	51472
140	8396	51151
141	8413	50838
142	8432	50537
143	8462	50304
144	8479	50000
145	8496	49700
146	8522	49451
147	8548	49211
148	8600	49121
149	8630	48908
150	8651	48644
151	8676	48406
152	8695	48140
153	8741	48019
154	8779	47860
155	8831	47780
156	8880	47683
157	8905	47457
158	8927	47218
159	8944	46960
160	8964	46713
161	8995	46530
162	9028	46361
163	9056	46167
164	9079	45947
165	9103	45737
166	9159	45685
167	9179	45460
168	9209	45286
169	9229	45059
170	9246	44825
171	9286	44706
172	9318	44545
173	9357	44419
174	9400	44318
175	9433	44168
176	9478	44070
177	9559	44147
178	9610	44080
179	9642	43925
180	9694	43866
181	9718	43678
182	9742	43496
183	9797	43451
184	9823	43277
185	9851	43112
186	9877	42941
187	9914	42821
188	9939	42650
189	9969	42499
190	9986	42298
191	10007	42116
192	10029	41937
193	10056	41779
194	10072	41579
195	10108	41466
196	10133	41307
197	10151	41117
198	10166	40923
199	10183	40732
200	10203	40561
201	10235	40433
202	10251	40248
203	10267	40063
204	10290	39907
205	10304	39717
206	10327	39563
207	10343	39386
208	10361	39216
209	10381	39053
210	10397	38879
211	10417	38721
212	10433	38551
213	10450	38382
214	10478	38260
215	10498	38104
216	10526	37982
217	10543	37820
218	10559	37657
219	10576	37496
220	10596	37350
221	10620	37219
222	10660	37144
223	10682	37008
224	10698	36851
225	10730	36748
226	10790	36745
227	10822	36643
228	10846	36517
229	10862	36364
230	10878	36216
231	10895	36066
232	10910	35917
233	10950	35847
234	10986	35765
235	11007	35635
236	11026	35497
237	11050	35380
238	11075	35266
239	11106	35169
240	11122	35030
241	11144	34908
242	11166	34785
243	11182	34647
244	11199	34514
245	11224	34404
246	11256	34317
247	11287	34226
248	11315	34127
249	11333	33999
250	11339	33838
251	11364	33733
252	11385	33615
253	11418	33535
254	11438	33419
255	11455	33293
256	11483	33198
257	11500	33075
258	11516	32948
259	11532	32822
260	11547	32696
261	11564	32575
262	11589	32477
263	11605	32354
264	11620	32231
265	11636	32110
266	11653	31992
267	11668	31871
268	11684	31752
269	11713	31671
270	11729	31553
271	11745	31435
272	11760	31319
273	11777	31206
274	11797	31103
275	11815	30993
276	11839	30902
277	11860	30803
278	11876	30691
279	11896	30590
280	11913	30482
281	11929	30372
282	11945	30264
283	11961	30156
284	11977	30049
285	12001	29960
286	12020	29863
287	12036	29757
288	12052	29652
289	12089	29598
290	12124	29540
291	12145	29449
292	12162	29346
293	12184	29258
294	12203	29163
295	12221	29068
296	12238	28969
297	12255	28870
298	12286	28805
299	12310	28725
300	12358	28698
301	12377	28606
302	12393	28509
303	12409	28411
304	12435	28336
305	12451	28239
306	12468	28144
307	12484	28049
308	12500	27953
309	12516	27859
310	12537	27775
311	12553	27681
312	12574	27600
313	12591	27507
314	12606	27414
315	12625	27327
316	12646	27247
317	12663	27158
318	12679	27068
319	12697	26982
320	12719	26905
321	12743	26832
322	12760	26745
323	12777	26658
324	12793	26570
325	12809	26483
326	12828	26402
327	12846	26319
328	12869	26247
329	12889	26170
330	12905	26084
331	12922	26000
332	12943	25926
333	12960	25842
334	12976	25758
335	12997	25685
336	13013	25601
337	13029	25519
338	13054	25453
339	13071	25373
340	13087	25291
341	13104	25213
342	13128	25146
343	13154	25086
344	13171	25006
345	13187	24925
346	13203	24846
347	13220	24769
348	13241	24700
349	13261	24628
350	13292	24576
351	13307	24498
352	13323	24420
353	13340	24344
354	13362	24279
355	13379	24204
356	13400	24136
357	13416	24060
358	13438	23993
359	13459	23928
360	13478	23857
361	13501	23795
362	13522	23730
363	13556	23686
364	13586	23637
365	13611	23578
366	13691	23615
