,Company,Availble Jobs,Average Salary,Rating,Total Reviews
0,TCS,3k,9.6L,3.4,(1.1L)
1,Accenture,32.5k,6.4L,3.7,(70.5k)
2,Wipro,5.6k,4.7L,3.6,(62.6k)
3,Cognizant,836,5.9L,3.6,(59.5k)
4,Capgemini,2.1k,4.7L,3.7,(51.1k)
5,HDFC Bank,198,1.5L,3.8,(50k)
6,Infosys,2.9k,5.1L,3.5,(46.8k)
7,ICICI Bank,32,1.5L,4.0,(44.9k)
8,HCLTech,282,3.7L,3.4,(44k)
9,Tech Mahindra,432,2.8L,3.4,(42k)
10,Genpact,371,2.3L,3.6,(40.4k)
11,Teleperformance,850,95.1k,3.8,(36.2k)
12,Axis Bank,219,1L,3.6,(32k)
13,Jio,3,62.2k,4.3,(31.5k)
14,Concentrix Corporation,73,1.3L,3.6,(31.3k)
15,Amazon,1.4k,1.4L,3.9,(30.4k)
16,iEnergizer,72,23.9k,4.6,(27.3k)
17,Reliance Retail,33,74.3k,3.9,(26.8k)
18,IBM,2.6k,2.1L,3.9,(25.2k)
19,LTIMindtree,474,1.9L,3.6,(25.2k)
20,TCS,3k,9.6L,3.4,(1.1L)
21,Accenture,32.5k,6.4L,3.7,(70.5k)
22,Wipro,5.6k,4.7L,3.6,(62.6k)
23,Cognizant,836,5.9L,3.6,(59.5k)
24,Capgemini,2.1k,4.7L,3.7,(51.1k)
25,HDFC Bank,198,1.5L,3.8,(50k)
26,Infosys,2.9k,5.1L,3.5,(46.8k)
27,ICICI Bank,32,1.5L,4.0,(44.9k)
28,HCLTech,282,3.7L,3.4,(44k)
29,Tech Mahindra,432,2.8L,3.4,(42k)
30,Genpact,371,2.3L,3.6,(40.4k)
31,Teleperformance,850,95.1k,3.8,(36.2k)
32,Axis Bank,219,1L,3.6,(32k)
33,Jio,3,62.2k,4.3,(31.5k)
34,Concentrix Corporation,73,1.3L,3.6,(31.3k)
35,Amazon,1.4k,1.4L,3.9,(30.4k)
36,iEnergizer,72,23.9k,4.6,(27.3k)
37,Reliance Retail,33,74.3k,3.9,(26.8k)
38,IBM,2.6k,2.1L,3.9,(25.2k)
39,LTIMindtree,474,1.9L,3.6,(25.2k)
40,TCS,3k,9.6L,3.4,(1.1L)
41,Accenture,32.5k,6.4L,3.7,(70.5k)
42,Wipro,5.6k,4.7L,3.6,(62.6k)
43,Cognizant,836,5.9L,3.6,(59.5k)
44,Capgemini,2.1k,4.7L,3.7,(51.1k)
45,HDFC Bank,198,1.5L,3.8,(50k)
46,Infosys,2.9k,5.1L,3.5,(46.8k)
47,ICICI Bank,32,1.5L,4.0,(44.9k)
48,HCLTech,282,3.7L,3.4,(44k)
49,Tech Mahindra,432,2.8L,3.4,(42k)
50,Genpact,371,2.3L,3.6,(40.4k)
51,Teleperformance,850,95.1k,3.8,(36.2k)
52,Axis Bank,219,1L,3.6,(32k)
53,Jio,3,62.2k,4.3,(31.5k)
54,Concentrix Corporation,73,1.3L,3.6,(31.3k)
55,Amazon,1.4k,1.4L,3.9,(30.4k)
56,iEnergizer,72,23.9k,4.6,(27.3k)
57,Reliance Retail,33,74.3k,3.9,(26.8k)
58,IBM,2.6k,2.1L,3.9,(25.2k)
59,LTIMindtree,474,1.9L,3.6,(25.2k)
60,TCS,3k,9.6L,3.4,(1.1L)
61,Accenture,32.5k,6.4L,3.7,(70.5k)
62,Wipro,5.6k,4.7L,3.6,(62.6k)
63,Cognizant,836,5.9L,3.6,(59.5k)
64,Capgemini,2.1k,4.7L,3.7,(51.1k)
65,HDFC Bank,198,1.5L,3.8,(50k)
66,Infosys,2.9k,5.1L,3.5,(46.8k)
67,ICICI Bank,32,1.5L,4.0,(44.9k)
68,HCLTech,282,3.7L,3.4,(44k)
69,Tech Mahindra,432,2.8L,3.4,(42k)
70,Genpact,371,2.3L,3.6,(40.4k)
71,Teleperformance,850,95.1k,3.8,(36.2k)
72,Axis Bank,219,1L,3.6,(32k)
73,Jio,3,62.2k,4.3,(31.5k)
74,Concentrix Corporation,73,1.3L,3.6,(31.3k)
75,Amazon,1.4k,1.4L,3.9,(30.4k)
76,iEnergizer,72,23.9k,4.6,(27.3k)
77,Reliance Retail,33,74.3k,3.9,(26.8k)
78,IBM,2.6k,2.1L,3.9,(25.2k)
79,LTIMindtree,474,1.9L,3.6,(25.2k)
80,TCS,3k,9.6L,3.4,(1.1L)
81,Accenture,32.5k,6.4L,3.7,(70.5k)
82,Wipro,5.6k,4.7L,3.6,(62.6k)
83,Cognizant,836,5.9L,3.6,(59.5k)
84,Capgemini,2.1k,4.7L,3.7,(51.1k)
85,HDFC Bank,198,1.5L,3.8,(50k)
86,Infosys,2.9k,5.1L,3.5,(46.8k)
87,ICICI Bank,32,1.5L,4.0,(44.9k)
88,HCLTech,282,3.7L,3.4,(44k)
89,Tech Mahindra,432,2.8L,3.4,(42k)
90,Genpact,371,2.3L,3.6,(40.4k)
91,Teleperformance,850,95.1k,3.8,(36.2k)
92,Axis Bank,219,1L,3.6,(32k)
93,Jio,3,62.2k,4.3,(31.5k)
94,Concentrix Corporation,73,1.3L,3.6,(31.3k)
95,Amazon,1.4k,1.4L,3.9,(30.4k)
96,iEnergizer,72,23.9k,4.6,(27.3k)
97,Reliance Retail,33,74.3k,3.9,(26.8k)
98,IBM,2.6k,2.1L,3.9,(25.2k)
99,LTIMindtree,474,1.9L,3.6,(25.2k)
100,TCS,3k,9.6L,3.4,(1.1L)
101,Accenture,32.5k,6.4L,3.7,(70.5k)
102,Wipro,5.6k,4.7L,3.6,(62.6k)
103,Cognizant,836,5.9L,3.6,(59.5k)
104,Capgemini,2.1k,4.7L,3.7,(51.1k)
105,HDFC Bank,198,1.5L,3.8,(50k)
106,Infosys,2.9k,5.1L,3.5,(46.8k)
107,ICICI Bank,32,1.5L,4.0,(44.9k)
108,HCLTech,282,3.7L,3.4,(44k)
109,Tech Mahindra,432,2.8L,3.4,(42k)
